Date,Open,High,Low,Close,Volume,Name
2015-07-06,38.0,39.75,36.0,36.71,5866647,PYPL
2015-07-07,37.72,37.81,36.0,36.62,7358964,PYPL
2015-07-08,36.34,36.36,34.53,34.7,5387749,PYPL
2015-07-09,35.1,35.52,33.99,34.5,3760051,PYPL
2015-07-10,34.66,35.19,33.98,34.69,4472801,PYPL
2015-07-13,35.59,37.5,35.5,36.78,7625994,PYPL
2015-07-14,36.99,37.74,36.6,36.93,4653323,PYPL
2015-07-15,37.98,38.2,37.03,37.51,13072783,PYPL
2015-07-16,38.82,39.97,38.08,38.63,21348480,PYPL
2015-07-17,39.42,40.2,38.18,38.39,45720240,PYPL
2015-07-20,41.46,42.55,39.8,40.47,52286509,PYPL
2015-07-21,41.08,41.11,39.12,39.35,32954573,PYPL
2015-07-22,39.35,39.72,38.1,38.39,25380859,PYPL
2015-07-23,38.74,38.75,36.93,37.01,19250154,PYPL
2015-07-24,37.71,38.0,36.91,37.0,14274305,PYPL
2015-07-27,36.78,37.38,36.22,36.39,16179913,PYPL
2015-07-28,37.19,38.0,36.83,37.6,18986016,PYPL
2015-07-29,38.03,38.1,37.62,37.95,11788439,PYPL
2015-07-30,38.04,39.01,37.72,38.45,13845091,PYPL
2015-07-31,39.14,39.2,38.22,38.7,12480580,PYPL
2015-08-03,39.25,39.88,38.9,39.39,15126574,PYPL
2015-08-04,39.91,39.91,38.43,38.95,10992217,PYPL
2015-08-05,39.7,39.88,39.17,39.27,9463128,PYPL
2015-08-06,39.63,39.74,38.55,38.85,7324116,PYPL
2015-08-07,39.04,39.23,38.6,39.13,8331310,PYPL
2015-08-10,39.43,39.69,38.77,39.05,7998929,PYPL
2015-08-11,38.93,39.28,38.72,38.85,8184004,PYPL
2015-08-12,38.55,38.58,37.01,38.19,21366670,PYPL
2015-08-13,38.4,38.49,37.44,37.62,7863525,PYPL
2015-08-14,37.49,38.18,37.38,38.14,6271143,PYPL
2015-08-17,38.3,38.75,37.7,38.73,4931711,PYPL
2015-08-18,39.0,39.0,37.87,37.99,4678847,PYPL
2015-08-19,37.87,38.1,37.03,37.19,6923402,PYPL
2015-08-20,36.85,37.34,35.88,35.98,10538959,PYPL
2015-08-21,35.57,36.11,33.83,34.25,15394412,PYPL
2015-08-24,31.17,34.85,30.0,33.75,19554050,PYPL
2015-08-25,35.44,35.46,32.7,32.7,15416977,PYPL
2015-08-26,33.7,33.84,31.71,33.17,25264719,PYPL
2015-08-27,33.87,34.77,33.16,34.62,18776769,PYPL
2015-08-28,34.51,35.26,34.37,35.04,8290739,PYPL
2015-08-31,35.5,35.51,34.77,35.0,12041519,PYPL
2015-09-01,34.15,34.68,33.41,33.77,13261920,PYPL
2015-09-02,34.6,35.08,33.84,35.07,7482107,PYPL
2015-09-03,35.01,35.46,34.77,35.31,6629466,PYPL
2015-09-04,34.71,34.72,33.78,34.29,7469421,PYPL
2015-09-08,34.81,34.89,34.25,34.7,7634883,PYPL
2015-09-09,34.92,34.95,33.88,34.37,10872151,PYPL
2015-09-10,34.23,34.29,32.95,33.46,12075194,PYPL
2015-09-11,33.27,33.59,32.61,33.55,9160363,PYPL
2015-09-14,33.7,33.95,33.2,33.77,7802378,PYPL
2015-09-15,33.72,33.95,32.67,33.8,11870976,PYPL
2015-09-16,33.46,34.06,33.36,33.77,7149246,PYPL
2015-09-17,33.72,33.99,33.08,33.32,7794530,PYPL
2015-09-18,32.9,33.78,32.55,32.92,16329728,PYPL
2015-09-21,33.66,34.62,33.43,34.25,12718346,PYPL
2015-09-22,33.94,34.1,33.19,33.35,8483351,PYPL
2015-09-23,33.49,34.34,33.26,34.16,5393341,PYPL
2015-09-24,34.0,34.07,33.38,33.91,6399403,PYPL
2015-09-25,34.6,34.69,33.5,33.77,6542214,PYPL
2015-09-28,33.68,33.68,32.16,32.25,7212906,PYPL
2015-09-29,32.27,32.67,30.3,30.63,11946355,PYPL
2015-09-30,31.2,31.28,30.64,31.04,13635796,PYPL
2015-10-01,30.82,31.59,30.75,31.48,9621910,PYPL
2015-10-02,30.82,32.86,30.75,32.83,7582782,PYPL
2015-10-05,32.95,33.02,32.38,32.67,6032285,PYPL
2015-10-06,32.91,32.91,31.78,31.86,7409822,PYPL
2015-10-07,32.31,32.47,31.52,32.38,6947373,PYPL
2015-10-08,32.44,32.45,31.09,31.67,9252314,PYPL
2015-10-09,31.69,32.45,31.41,32.06,5871841,PYPL
2015-10-12,32.19,32.67,32.1,32.63,3885446,PYPL
2015-10-13,32.6,33.48,32.34,33.22,8719750,PYPL
2015-10-14,33.4,34.46,33.4,34.05,8188016,PYPL
2015-10-15,34.45,34.72,34.16,34.62,9071219,PYPL
2015-10-16,34.75,35.05,33.95,34.29,5376488,PYPL
2015-10-19,34.43,34.9,33.79,34.84,5829543,PYPL
2015-10-20,34.8,34.99,34.59,34.87,6061545,PYPL
2015-10-21,34.75,34.8,32.88,33.83,9054549,PYPL
2015-10-22,34.43,35.25,34.26,34.79,8697912,PYPL
2015-10-23,35.73,35.75,34.8,34.99,8906728,PYPL
2015-10-26,36.05,36.59,35.52,36.44,11522140,PYPL
2015-10-27,36.39,36.39,35.31,35.94,8465303,PYPL
2015-10-28,36.21,36.65,35.81,36.52,10645918,PYPL
